term,definition
Δημοσιονομική πολιτική,Πολιτική ελέγχου των εσόδων και δαπανών του κράτους
Φόροι,Κύρια πηγή δημοσίων εσόδων
Δημόσιες δαπάνες,"Κρατικά έξοδα για υγεία, παιδεία, άμυνα κ.ά."
Κρατικός προϋπολογισμός,Προβλέπει έσοδα και δαπάνες
Πλεόνασμα,Όταν τα έσοδα είναι περισσότερα από τις δαπάνες
Δημοσιονομική πολιτική,Πολιτική ελέγχου των εσόδων και δαπανών του κράτους
Φόροι,Κύρια πηγή δημοσίων εσόδων
Δημόσιες δαπάνες,"Κρατικά έξοδα για υγεία, παιδεία, άμυνα κ.ά."
Κρατικός προϋπολογισμός,Προβλέπει έσοδα και δαπάνες
Πλεόνασμα,Όταν τα έσοδα είναι περισσότερα από τις δαπάνες
Δημοσιονομική πολιτική,Πολιτική ελέγχου των εσόδων και δαπανών του κράτους
Φόροι,Κύρια πηγή δημοσίων εσόδων
Δημόσιες δαπάνες,"Κρατικά έξοδα για υγεία, παιδεία, άμυνα κ.ά."
Κρατικός προϋπολογισμός,Προβλέπει έσοδα και δαπάνες
Πλεόνασμα,Όταν τα έσοδα είναι περισσότερα από τις δαπάνες
Δημοσιονομική πολιτική,Πολιτική ελέγχου των εσόδων και δαπανών του κράτους
Φόροι,Κύρια πηγή δημοσίων εσόδων
Δημόσιες δαπάνες,"Κρατικά έξοδα για υγεία, παιδεία, άμυνα κ.ά."
Κρατικός προϋπολογισμός,Προβλέπει έσοδα και δαπάνες
Πλεόνασμα,Όταν τα έσοδα είναι περισσότερα από τις δαπάνες
