question,answer_1,answer_2,answer_3,answer_4,correct_answer
Η καμπύλη προσφοράς δείχνει τη σχέση μεταξύ:,Τιμής και ζητούμενης ποσότητας,Τιμής και προσφερόμενης ποσότητας,Κόστους και τιμής,Ζήτησης και κόστους,β
"Όταν αυξάνεται η τιμή ενός αγαθού, η προσφορά του:",Μειώνεται,Μένει σταθερή,Αυξάνεται,Μηδενίζεται,γ
Ποιο από τα παρακάτω μεταβάλλει τη θέση της καμπύλης προσφοράς;,Μεταβολή στην τιμή του αγαθού,Μεταβολή στο κόστος παραγωγής,Μεταβολή στην καμπύλη ζήτησης,Μείωση εισοδήματος καταναλωτών,β
Η τεχνολογική πρόοδος επηρεάζει την προσφορά:,Αρνητικά,Δεν την επηρεάζει,Θετικά,Καθόλου,γ
"Όταν υπάρχει μείωση του αριθμού των παραγωγών, η καμπύλη προσφοράς:",Μετατοπίζεται προς τα δεξιά,Παραμένει σταθερή,Μετατοπίζεται προς τα αριστερά,Εξαφανίζεται,γ
Η καμπύλη προσφοράς δείχνει τη σχέση μεταξύ:,Τιμής και ζητούμενης ποσότητας,Τιμής και προσφερόμενης ποσότητας,Κόστους και τιμής,Ζήτησης και κόστους,β
"Όταν αυξάνεται η τιμή ενός αγαθού, η προσφορά του:",Μειώνεται,Μένει σταθερή,Αυξάνεται,Μηδενίζεται,γ
Ποιο από τα παρακάτω μεταβάλλει τη θέση της καμπύλης προσφοράς;,Μεταβολή στην τιμή του αγαθού,Μεταβολή στο κόστος παραγωγής,Μεταβολή στην καμπύλη ζήτησης,Μείωση εισοδήματος καταναλωτών,β
Η τεχνολογική πρόοδος επηρεάζει την προσφορά:,Αρνητικά,Δεν την επηρεάζει,Θετικά,Καθόλου,γ
"Όταν υπάρχει μείωση του αριθμού των παραγωγών, η καμπύλη προσφοράς:",Μετατοπίζεται προς τα δεξιά,Παραμένει σταθερή,Μετατοπίζεται προς τα αριστερά,Εξαφανίζεται,γ
Η καμπύλη προσφοράς δείχνει τη σχέση μεταξύ:,Τιμής και ζητούμενης ποσότητας,Τιμής και προσφερόμενης ποσότητας,Κόστους και τιμής,Ζήτησης και κόστους,β
"Όταν αυξάνεται η τιμή ενός αγαθού, η προσφορά του:",Μειώνεται,Μένει σταθερή,Αυξάνεται,Μηδενίζεται,γ
Ποιο από τα παρακάτω μεταβάλλει τη θέση της καμπύλης προσφοράς;,Μεταβολή στην τιμή του αγαθού,Μεταβολή στο κόστος παραγωγής,Μεταβολή στην καμπύλη ζήτησης,Μείωση εισοδήματος καταναλωτών,β
Η τεχνολογική πρόοδος επηρεάζει την προσφορά:,Αρνητικά,Δεν την επηρεάζει,Θετικά,Καθόλου,γ
"Όταν υπάρχει μείωση του αριθμού των παραγωγών, η καμπύλη προσφοράς:",Μετατοπίζεται προς τα δεξιά,Παραμένει σταθερή,Μετατοπίζεται προς τα αριστερά,Εξαφανίζεται,γ
Η καμπύλη προσφοράς δείχνει τη σχέση μεταξύ:,Τιμής και ζητούμενης ποσότητας,Τιμής και προσφερόμενης ποσότητας,Κόστους και τιμής,Ζήτησης και κόστους,β
"Όταν αυξάνεται η τιμή ενός αγαθού, η προσφορά του:",Μειώνεται,Μένει σταθερή,Αυξάνεται,Μηδενίζεται,γ
Ποιο από τα παρακάτω μεταβάλλει τη θέση της καμπύλης προσφοράς;,Μεταβολή στην τιμή του αγαθού,Μεταβολή στο κόστος παραγωγής,Μεταβολή στην καμπύλη ζήτησης,Μείωση εισοδήματος καταναλωτών,β
Η τεχνολογική πρόοδος επηρεάζει την προσφορά:,Αρνητικά,Δεν την επηρεάζει,Θετικά,Καθόλου,γ
"Όταν υπάρχει μείωση του αριθμού των παραγωγών, η καμπύλη προσφοράς:",Μετατοπίζεται προς τα δεξιά,Παραμένει σταθερή,Μετατοπίζεται προς τα αριστερά,Εξαφανίζεται,γ
