question,answer
Η οικονομική επιστήμη ασχολείται με την ικανοποίηση των απεριόριστων αναγκών με περιορισμένα μέσα.,σωστό
Όλα τα αγαθά που υπάρχουν στη φύση είναι οικονομικά αγαθά.,λάθος
Οι ανθρώπινες ανάγκες είναι απεριόριστες σε ποσότητα και ποιότητα.,σωστό
Η σπανιότητα των αγαθών είναι απόρροια της αφθονίας των μέσων παραγωγής.,λάθος
Το νερό του ποταμού θεωρείται ελεύθερο αγαθό.,σωστό
Τα οικονομικά αγαθά είναι πάντα απεριόριστα.,λάθος
Η εργασία είναι ένας από τους παραγωγικούς συντελεστές.,σωστό
Η γη περιλαμβάνει μόνο την επιφάνεια του εδάφους.,λάθος
Το κεφάλαιο περιλαμβάνει όλα τα μέσα που χρησιμοποιούνται στην παραγωγική διαδικασία.,σωστό
Η επιχειρηματικότητα δεν σχετίζεται με την ανάληψη κινδύνου.,λάθος
Οι ανάγκες του ανθρώπου δεν μεταβάλλονται με την πάροδο του χρόνου.,λάθος
Οι δευτερεύουσες ανάγκες σχετίζονται με την επιβίωση του ανθρώπου.,λάθος
Η αυτοκατανάλωση αγαθών λαμβάνεται υπόψη στην οικονομική επιστήμη.,σωστό
Το οξυγόνο που αναπνέουμε θεωρείται ελεύθερο αγαθό.,σωστό
Η έννοια του κόστους ευκαιρίας συνδέεται με την έννοια της επιλογής.,σωστό
Οι άνθρωποι έχουν την ικανότητα να ικανοποιούν όλες τους τις ανάγκες.,λάθος
Η τεχνολογία δεν επηρεάζει την παραγωγή αγαθών.,λάθος
Οι υπηρεσίες ανήκουν στα άυλα οικονομικά αγαθά.,σωστό
Το οικονομικό πρόβλημα είναι κοινό σε όλα τα οικονομικά συστήματα.,σωστό
Η επιλογή στην οικονομία δεν σχετίζεται με το κόστος ευκαιρίας.,λάθος
