question,answer
Η ζήτηση αυξάνεται όταν μειώνεται η τιμή του αγαθού.,σωστό
Η ζήτηση ενός αγαθού δεν επηρεάζεται από το εισόδημα του καταναλωτή.,λάθος
"Αν δύο αγαθά είναι συμπληρωματικά, η αύξηση της τιμής του ενός μειώνει τη ζήτηση του άλλου.",σωστό
Η καμπύλη ζήτησης έχει συνήθως θετική κλίση.,λάθος
Οι προτιμήσεις των καταναλωτών επηρεάζουν τη ζήτηση.,σωστό
Η ζήτηση αυξάνεται όταν μειώνεται η τιμή του αγαθού.,σωστό
Η ζήτηση ενός αγαθού δεν επηρεάζεται από το εισόδημα του καταναλωτή.,λάθος
"Αν δύο αγαθά είναι συμπληρωματικά, η αύξηση της τιμής του ενός μειώνει τη ζήτηση του άλλου.",σωστό
Η καμπύλη ζήτησης έχει συνήθως θετική κλίση.,λάθος
Οι προτιμήσεις των καταναλωτών επηρεάζουν τη ζήτηση.,σωστό
Η ζήτηση αυξάνεται όταν μειώνεται η τιμή του αγαθού.,σωστό
Η ζήτηση ενός αγαθού δεν επηρεάζεται από το εισόδημα του καταναλωτή.,λάθος
"Αν δύο αγαθά είναι συμπληρωματικά, η αύξηση της τιμής του ενός μειώνει τη ζήτηση του άλλου.",σωστό
Η καμπύλη ζήτησης έχει συνήθως θετική κλίση.,λάθος
Οι προτιμήσεις των καταναλωτών επηρεάζουν τη ζήτηση.,σωστό
Η ζήτηση αυξάνεται όταν μειώνεται η τιμή του αγαθού.,σωστό
Η ζήτηση ενός αγαθού δεν επηρεάζεται από το εισόδημα του καταναλωτή.,λάθος
"Αν δύο αγαθά είναι συμπληρωματικά, η αύξηση της τιμής του ενός μειώνει τη ζήτηση του άλλου.",σωστό
Η καμπύλη ζήτησης έχει συνήθως θετική κλίση.,λάθος
Οι προτιμήσεις των καταναλωτών επηρεάζουν τη ζήτηση.,σωστό
