question,answer
Ο __________ είναι η γενική αύξηση των τιμών.,πληθωρισμός
Η __________ αφορά άτομα που θέλουν αλλά δεν μπορούν να βρουν εργασία.,ανεργία
Η __________ ζήτησης οδηγεί σε αύξηση της ανεργίας.,μείωση
Ο πληθωρισμός μειώνει την __________ δύναμη του χρήματος.,αγοραστική
Η ανεργία μετριέται ως __________ του εργατικού δυναμικού.,ποσοστό
Ο __________ είναι η γενική αύξηση των τιμών.,πληθωρισμός
Η __________ αφορά άτομα που θέλουν αλλά δεν μπορούν να βρουν εργασία.,ανεργία
Η __________ ζήτησης οδηγεί σε αύξηση της ανεργίας.,μείωση
Ο πληθωρισμός μειώνει την __________ δύναμη του χρήματος.,αγοραστική
Η ανεργία μετριέται ως __________ του εργατικού δυναμικού.,ποσοστό
Ο __________ είναι η γενική αύξηση των τιμών.,πληθωρισμός
Η __________ αφορά άτομα που θέλουν αλλά δεν μπορούν να βρουν εργασία.,ανεργία
Η __________ ζήτησης οδηγεί σε αύξηση της ανεργίας.,μείωση
Ο πληθωρισμός μειώνει την __________ δύναμη του χρήματος.,αγοραστική
Η ανεργία μετριέται ως __________ του εργατικού δυναμικού.,ποσοστό
Ο __________ είναι η γενική αύξηση των τιμών.,πληθωρισμός
Η __________ αφορά άτομα που θέλουν αλλά δεν μπορούν να βρουν εργασία.,ανεργία
Η __________ ζήτησης οδηγεί σε αύξηση της ανεργίας.,μείωση
Ο πληθωρισμός μειώνει την __________ δύναμη του χρήματος.,αγοραστική
Η ανεργία μετριέται ως __________ του εργατικού δυναμικού.,ποσοστό
