question,answer_1,answer_2,answer_3,answer_4,correct_answer
Ποια από τις παρακάτω μεταβολές προκαλεί μετακίνηση επί της καμπύλης ζήτησης;,Μεταβολή της τιμής του αγαθού,Αλλαγή του εισοδήματος,Μεταβολή των προτιμήσεων,Αλλαγή τιμής υποκατάστατου αγαθού,α
"Αν αυξηθεί το εισόδημα των καταναλωτών, τότε η ζήτηση για κανονικά αγαθά:",Μειώνεται,Παραμένει σταθερή,Αυξάνεται,Εξαρτάται από την τιμή,γ
Η ζήτηση επηρεάζεται κυρίως από:,Την προσφορά,Τις τιμές των αγαθών,Τους παραγωγούς,Το κόστος παραγωγής,β
"Όταν η τιμή ενός αγαθού μειώνεται και η ζητούμενη ποσότητα αυξάνεται, αυτό ονομάζεται:",Νόμος της προσφοράς,Ελαστικότητα,Νόμος της ζήτησης,Ισορροπία,γ
"Αν δύο αγαθά είναι υποκατάστατα, τότε αύξηση της τιμής του ενός:",Μειώνει τη ζήτηση και των δύο,Αυξάνει τη ζήτηση του άλλου,Δεν επηρεάζει τη ζήτηση,Μειώνει τη ζήτηση του άλλου,β
Ποια από τις παρακάτω μεταβολές προκαλεί μετακίνηση επί της καμπύλης ζήτησης;,Μεταβολή της τιμής του αγαθού,Αλλαγή του εισοδήματος,Μεταβολή των προτιμήσεων,Αλλαγή τιμής υποκατάστατου αγαθού,α
"Αν αυξηθεί το εισόδημα των καταναλωτών, τότε η ζήτηση για κανονικά αγαθά:",Μειώνεται,Παραμένει σταθερή,Αυξάνεται,Εξαρτάται από την τιμή,γ
Η ζήτηση επηρεάζεται κυρίως από:,Την προσφορά,Τις τιμές των αγαθών,Τους παραγωγούς,Το κόστος παραγωγής,β
"Όταν η τιμή ενός αγαθού μειώνεται και η ζητούμενη ποσότητα αυξάνεται, αυτό ονομάζεται:",Νόμος της προσφοράς,Ελαστικότητα,Νόμος της ζήτησης,Ισορροπία,γ
"Αν δύο αγαθά είναι υποκατάστατα, τότε αύξηση της τιμής του ενός:",Μειώνει τη ζήτηση και των δύο,Αυξάνει τη ζήτηση του άλλου,Δεν επηρεάζει τη ζήτηση,Μειώνει τη ζήτηση του άλλου,β
Ποια από τις παρακάτω μεταβολές προκαλεί μετακίνηση επί της καμπύλης ζήτησης;,Μεταβολή της τιμής του αγαθού,Αλλαγή του εισοδήματος,Μεταβολή των προτιμήσεων,Αλλαγή τιμής υποκατάστατου αγαθού,α
"Αν αυξηθεί το εισόδημα των καταναλωτών, τότε η ζήτηση για κανονικά αγαθά:",Μειώνεται,Παραμένει σταθερή,Αυξάνεται,Εξαρτάται από την τιμή,γ
Η ζήτηση επηρεάζεται κυρίως από:,Την προσφορά,Τις τιμές των αγαθών,Τους παραγωγούς,Το κόστος παραγωγής,β
"Όταν η τιμή ενός αγαθού μειώνεται και η ζητούμενη ποσότητα αυξάνεται, αυτό ονομάζεται:",Νόμος της προσφοράς,Ελαστικότητα,Νόμος της ζήτησης,Ισορροπία,γ
"Αν δύο αγαθά είναι υποκατάστατα, τότε αύξηση της τιμής του ενός:",Μειώνει τη ζήτηση και των δύο,Αυξάνει τη ζήτηση του άλλου,Δεν επηρεάζει τη ζήτηση,Μειώνει τη ζήτηση του άλλου,β
Ποια από τις παρακάτω μεταβολές προκαλεί μετακίνηση επί της καμπύλης ζήτησης;,Μεταβολή της τιμής του αγαθού,Αλλαγή του εισοδήματος,Μεταβολή των προτιμήσεων,Αλλαγή τιμής υποκατάστατου αγαθού,α
"Αν αυξηθεί το εισόδημα των καταναλωτών, τότε η ζήτηση για κανονικά αγαθά:",Μειώνεται,Παραμένει σταθερή,Αυξάνεται,Εξαρτάται από την τιμή,γ
Η ζήτηση επηρεάζεται κυρίως από:,Την προσφορά,Τις τιμές των αγαθών,Τους παραγωγούς,Το κόστος παραγωγής,β
"Όταν η τιμή ενός αγαθού μειώνεται και η ζητούμενη ποσότητα αυξάνεται, αυτό ονομάζεται:",Νόμος της προσφοράς,Ελαστικότητα,Νόμος της ζήτησης,Ισορροπία,γ
"Αν δύο αγαθά είναι υποκατάστατα, τότε αύξηση της τιμής του ενός:",Μειώνει τη ζήτηση και των δύο,Αυξάνει τη ζήτηση του άλλου,Δεν επηρεάζει τη ζήτηση,Μειώνει τη ζήτηση του άλλου,β
