term,definition
Προσφορά,Η ποσότητα ενός αγαθού που οι παραγωγοί είναι διατεθειμένοι να διαθέσουν
Καμπύλη προσφοράς,Γραφική παράσταση της σχέσης τιμής και προσφερόμενης ποσότητας
Κόστος παραγωγής,Παράγοντας που επηρεάζει την προσφορά
Τεχνολογία,Μέσο για αύξηση της παραγωγής
Αριθμός παραγωγών,"Όσο αυξάνεται, αυξάνεται και η προσφορά"
Προσφορά,Η ποσότητα ενός αγαθού που οι παραγωγοί είναι διατεθειμένοι να διαθέσουν
Καμπύλη προσφοράς,Γραφική παράσταση της σχέσης τιμής και προσφερόμενης ποσότητας
Κόστος παραγωγής,Παράγοντας που επηρεάζει την προσφορά
Τεχνολογία,Μέσο για αύξηση της παραγωγής
Αριθμός παραγωγών,"Όσο αυξάνεται, αυξάνεται και η προσφορά"
Προσφορά,Η ποσότητα ενός αγαθού που οι παραγωγοί είναι διατεθειμένοι να διαθέσουν
Καμπύλη προσφοράς,Γραφική παράσταση της σχέσης τιμής και προσφερόμενης ποσότητας
Κόστος παραγωγής,Παράγοντας που επηρεάζει την προσφορά
Τεχνολογία,Μέσο για αύξηση της παραγωγής
Αριθμός παραγωγών,"Όσο αυξάνεται, αυξάνεται και η προσφορά"
Προσφορά,Η ποσότητα ενός αγαθού που οι παραγωγοί είναι διατεθειμένοι να διαθέσουν
Καμπύλη προσφοράς,Γραφική παράσταση της σχέσης τιμής και προσφερόμενης ποσότητας
Κόστος παραγωγής,Παράγοντας που επηρεάζει την προσφορά
Τεχνολογία,Μέσο για αύξηση της παραγωγής
Αριθμός παραγωγών,"Όσο αυξάνεται, αυξάνεται και η προσφορά"
