term,definition
Τιμή ισορροπίας,Τιμή στην οποία εξισώνονται προσφορά και ζήτηση
Πλεόνασμα,Περίσσεια προσφοράς έναντι της ζήτησης
Έλλειμμα,Όταν η ζήτηση υπερβαίνει την προσφορά
Αγορά,Ο χώρος όπου συναντώνται προσφορά και ζήτηση
Αύξηση ζήτησης,Οδηγεί σε αύξηση τιμής ισορροπίας
Τιμή ισορροπίας,Τιμή στην οποία εξισώνονται προσφορά και ζήτηση
Πλεόνασμα,Περίσσεια προσφοράς έναντι της ζήτησης
Έλλειμμα,Όταν η ζήτηση υπερβαίνει την προσφορά
Αγορά,Ο χώρος όπου συναντώνται προσφορά και ζήτηση
Αύξηση ζήτησης,Οδηγεί σε αύξηση τιμής ισορροπίας
Τιμή ισορροπίας,Τιμή στην οποία εξισώνονται προσφορά και ζήτηση
Πλεόνασμα,Περίσσεια προσφοράς έναντι της ζήτησης
Έλλειμμα,Όταν η ζήτηση υπερβαίνει την προσφορά
Αγορά,Ο χώρος όπου συναντώνται προσφορά και ζήτηση
Αύξηση ζήτησης,Οδηγεί σε αύξηση τιμής ισορροπίας
Τιμή ισορροπίας,Τιμή στην οποία εξισώνονται προσφορά και ζήτηση
Πλεόνασμα,Περίσσεια προσφοράς έναντι της ζήτησης
Έλλειμμα,Όταν η ζήτηση υπερβαίνει την προσφορά
Αγορά,Ο χώρος όπου συναντώνται προσφορά και ζήτηση
Αύξηση ζήτησης,Οδηγεί σε αύξηση τιμής ισορροπίας
