term,definition
Συνολικό προϊόν,Το σύνολο των μονάδων προϊόντος που παράγονται
Οριακό προϊόν,Η επιπλέον παραγωγή από μια μονάδα επιπλέον συντελεστή
Σταθερό κόστος,Κόστος που δεν μεταβάλλεται με την παραγωγή
Μεταβλητό κόστος,Κόστος που εξαρτάται από την παραγωγή
Μέσο κόστος,Το κόστος ανά μονάδα προϊόντος
Συνολικό προϊόν,Το σύνολο των μονάδων προϊόντος που παράγονται
Οριακό προϊόν,Η επιπλέον παραγωγή από μια μονάδα επιπλέον συντελεστή
Σταθερό κόστος,Κόστος που δεν μεταβάλλεται με την παραγωγή
Μεταβλητό κόστος,Κόστος που εξαρτάται από την παραγωγή
Μέσο κόστος,Το κόστος ανά μονάδα προϊόντος
Συνολικό προϊόν,Το σύνολο των μονάδων προϊόντος που παράγονται
Οριακό προϊόν,Η επιπλέον παραγωγή από μια μονάδα επιπλέον συντελεστή
Σταθερό κόστος,Κόστος που δεν μεταβάλλεται με την παραγωγή
Μεταβλητό κόστος,Κόστος που εξαρτάται από την παραγωγή
Μέσο κόστος,Το κόστος ανά μονάδα προϊόντος
Συνολικό προϊόν,Το σύνολο των μονάδων προϊόντος που παράγονται
Οριακό προϊόν,Η επιπλέον παραγωγή από μια μονάδα επιπλέον συντελεστή
Σταθερό κόστος,Κόστος που δεν μεταβάλλεται με την παραγωγή
Μεταβλητό κόστος,Κόστος που εξαρτάται από την παραγωγή
Μέσο κόστος,Το κόστος ανά μονάδα προϊόντος
