question,answer
Ο πληθωρισμός είναι η γενική αύξηση των τιμών.,σωστό
Η ανεργία αφορά άτομα που δεν θέλουν να εργαστούν.,λάθος
Η μείωση της ζήτησης μπορεί να προκαλέσει ανεργία.,σωστό
Ο πληθωρισμός αυξάνει την αγοραστική δύναμη του χρήματος.,λάθος
Η ανεργία μετριέται ως ποσοστό του εργατικού δυναμικού.,σωστό
Ο πληθωρισμός είναι η γενική αύξηση των τιμών.,σωστό
Η ανεργία αφορά άτομα που δεν θέλουν να εργαστούν.,λάθος
Η μείωση της ζήτησης μπορεί να προκαλέσει ανεργία.,σωστό
Ο πληθωρισμός αυξάνει την αγοραστική δύναμη του χρήματος.,λάθος
Η ανεργία μετριέται ως ποσοστό του εργατικού δυναμικού.,σωστό
Ο πληθωρισμός είναι η γενική αύξηση των τιμών.,σωστό
Η ανεργία αφορά άτομα που δεν θέλουν να εργαστούν.,λάθος
Η μείωση της ζήτησης μπορεί να προκαλέσει ανεργία.,σωστό
Ο πληθωρισμός αυξάνει την αγοραστική δύναμη του χρήματος.,λάθος
Η ανεργία μετριέται ως ποσοστό του εργατικού δυναμικού.,σωστό
Ο πληθωρισμός είναι η γενική αύξηση των τιμών.,σωστό
Η ανεργία αφορά άτομα που δεν θέλουν να εργαστούν.,λάθος
Η μείωση της ζήτησης μπορεί να προκαλέσει ανεργία.,σωστό
Ο πληθωρισμός αυξάνει την αγοραστική δύναμη του χρήματος.,λάθος
Η ανεργία μετριέται ως ποσοστό του εργατικού δυναμικού.,σωστό
