question,answer_1,answer_2,answer_3,answer_4,correct_answer
Ο πληθωρισμός είναι η:,Αύξηση του πραγματικού εισοδήματος,Αύξηση των τιμών αγαθών και υπηρεσιών,Μείωση της απασχόλησης,Αύξηση των εξαγωγών,β
Η ανεργία υπολογίζεται ως ποσοστό του:,Πληθυσμού μιας χώρας,Εργατικού δυναμικού,Οικονομικά ανενεργού πληθυσμού,ΑΕΠ,β
Ποια είναι βασική αιτία του κυκλικού πληθωρισμού;,Πτώση τιμών,Μείωση κόστους παραγωγής,Αύξηση της ζήτησης,Αύξηση επιτοκίων,γ
Ποια κατάσταση χαρακτηρίζει την οικονομική ύφεση;,Αύξηση επενδύσεων,Αύξηση απασχόλησης,Μείωση εισοδήματος και παραγωγής,Αύξηση ΑΕΠ,γ
Για την καταπολέμηση της ανεργίας προτείνεται:,Μείωση των δημοσίων επενδύσεων,Μείωση προσλήψεων,Αύξηση κρατικών δαπανών,Αύξηση της φορολογίας,γ
Ο πληθωρισμός είναι η:,Αύξηση του πραγματικού εισοδήματος,Αύξηση των τιμών αγαθών και υπηρεσιών,Μείωση της απασχόλησης,Αύξηση των εξαγωγών,β
Η ανεργία υπολογίζεται ως ποσοστό του:,Πληθυσμού μιας χώρας,Εργατικού δυναμικού,Οικονομικά ανενεργού πληθυσμού,ΑΕΠ,β
Ποια είναι βασική αιτία του κυκλικού πληθωρισμού;,Πτώση τιμών,Μείωση κόστους παραγωγής,Αύξηση της ζήτησης,Αύξηση επιτοκίων,γ
Ποια κατάσταση χαρακτηρίζει την οικονομική ύφεση;,Αύξηση επενδύσεων,Αύξηση απασχόλησης,Μείωση εισοδήματος και παραγωγής,Αύξηση ΑΕΠ,γ
Για την καταπολέμηση της ανεργίας προτείνεται:,Μείωση των δημοσίων επενδύσεων,Μείωση προσλήψεων,Αύξηση κρατικών δαπανών,Αύξηση της φορολογίας,γ
Ο πληθωρισμός είναι η:,Αύξηση του πραγματικού εισοδήματος,Αύξηση των τιμών αγαθών και υπηρεσιών,Μείωση της απασχόλησης,Αύξηση των εξαγωγών,β
Η ανεργία υπολογίζεται ως ποσοστό του:,Πληθυσμού μιας χώρας,Εργατικού δυναμικού,Οικονομικά ανενεργού πληθυσμού,ΑΕΠ,β
Ποια είναι βασική αιτία του κυκλικού πληθωρισμού;,Πτώση τιμών,Μείωση κόστους παραγωγής,Αύξηση της ζήτησης,Αύξηση επιτοκίων,γ
Ποια κατάσταση χαρακτηρίζει την οικονομική ύφεση;,Αύξηση επενδύσεων,Αύξηση απασχόλησης,Μείωση εισοδήματος και παραγωγής,Αύξηση ΑΕΠ,γ
Για την καταπολέμηση της ανεργίας προτείνεται:,Μείωση των δημοσίων επενδύσεων,Μείωση προσλήψεων,Αύξηση κρατικών δαπανών,Αύξηση της φορολογίας,γ
Ο πληθωρισμός είναι η:,Αύξηση του πραγματικού εισοδήματος,Αύξηση των τιμών αγαθών και υπηρεσιών,Μείωση της απασχόλησης,Αύξηση των εξαγωγών,β
Η ανεργία υπολογίζεται ως ποσοστό του:,Πληθυσμού μιας χώρας,Εργατικού δυναμικού,Οικονομικά ανενεργού πληθυσμού,ΑΕΠ,β
Ποια είναι βασική αιτία του κυκλικού πληθωρισμού;,Πτώση τιμών,Μείωση κόστους παραγωγής,Αύξηση της ζήτησης,Αύξηση επιτοκίων,γ
Ποια κατάσταση χαρακτηρίζει την οικονομική ύφεση;,Αύξηση επενδύσεων,Αύξηση απασχόλησης,Μείωση εισοδήματος και παραγωγής,Αύξηση ΑΕΠ,γ
Για την καταπολέμηση της ανεργίας προτείνεται:,Μείωση των δημοσίων επενδύσεων,Μείωση προσλήψεων,Αύξηση κρατικών δαπανών,Αύξηση της φορολογίας,γ
