Question,answer_1,answer_2,answer_3,answer_4,correct_answer
Τι εκφράζει η παράγωγος μιας συνάρτησης σε ένα σημείο;,Την τιμή της συνάρτησης στο σημείο,Τον ρυθμό μεταβολής της συνάρτησης στο σημείο,Το όριο της συνάρτησης στο σημείο,Την ολοκλήρωση της συνάρτησης στο σημείο,β
Ποιος είναι ο γεωμετρικός χαρακτηρισμός της παραγώγου;,Η κλίση της εφαπτομένης της γραφικής παράστασης στο σημείο,Το εμβαδόν κάτω από τη γραφική παράσταση,Η απόσταση από την αρχή των αξόνων,Το μήκος της γραφικής παράστασης,α
"Αν η συνάρτηση f(x) είναι γνησίως αύξουσα, τότε η παράγωγός της είναι:",Θετική,Αρνητική,Μηδενική,Δεν μπορούμε να συμπεράνουμε,α
Ποια από τις παρακάτω συναρτήσεις έχει παράγωγο ίση με τον εαυτό της;,f(x) = x^2,f(x) = e^x,f(x) = ln x,f(x) = sin x,β
Ποιος είναι ο κανόνας παραγώγισης του γινομένου δύο συναρτήσεων;,Παράγωγος του πρώτου επί το δεύτερο,Παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου επί το δεύτερο συν παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου συν παράγωγος του δεύτερου,γ
"Αν f(x) = sin x, ποια είναι η παράγωγός της;",cos x,-cos x,sin x,-sin x,α
Ποια είναι η παράγωγος της f(x) = ln x;,1/x,x,e^x,1/x^2,α
"Αν η παράγωγος μιας συνάρτησης είναι μηδενική σε ένα διάστημα, τότε η συνάρτηση είναι:",Γνησίως αύξουσα,Γνησίως φθίνουσα,Σταθερή,Περιοδική,γ
Ποια είναι η παράγωγος της f(x) = e^x;,e^x,x * e^x,e^(x-1),x,α
"Αν f(x) = x^n, ποια είναι η παράγωγός της;",n * x^(n-1),x^(n+1),n * x^(n+1),x^(n-1),α
Ποια είναι η παράγωγος της f(x) = ln x;,1/x,x,e^x,1/x^2,α
Ποια από τις παρακάτω συναρτήσεις έχει παράγωγο ίση με τον εαυτό της;,f(x) = x^2,f(x) = e^x,f(x) = ln x,f(x) = sin x,β
"Αν η παράγωγος μιας συνάρτησης είναι μηδενική σε ένα διάστημα, τότε η συνάρτηση είναι:",Γνησίως αύξουσα,Γνησίως φθίνουσα,Σταθερή,Περιοδική,γ
Ποιος είναι ο κανόνας παραγώγισης του γινομένου δύο συναρτήσεων;,Παράγωγος του πρώτου επί το δεύτερο,Παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου επί το δεύτερο συν παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου συν παράγωγος του δεύτερου,γ
Ποια είναι η παράγωγος της f(x) = ln x;,1/x,x,e^x,1/x^2,α
"Αν f(x) = x^n, ποια είναι η παράγωγός της;",n * x^(n-1),x^(n+1),n * x^(n+1),x^(n-1),α
"Αν η συνάρτηση f(x) είναι γνησίως αύξουσα, τότε η παράγωγός της είναι:",Θετική,Αρνητική,Μηδενική,Δεν μπορούμε να συμπεράνουμε,α
Ποια είναι η παράγωγος της f(x) = ln x;,1/x,x,e^x,1/x^2,α
"Αν η παράγωγος μιας συνάρτησης είναι μηδενική σε ένα διάστημα, τότε η συνάρτηση είναι:",Γνησίως αύξουσα,Γνησίως φθίνουσα,Σταθερή,Περιοδική,γ
Ποιος είναι ο κανόνας παραγώγισης του γινομένου δύο συναρτήσεων;,Παράγωγος του πρώτου επί το δεύτερο,Παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου επί το δεύτερο συν παράγωγος του δεύτερου επί το πρώτο,Παράγωγος του πρώτου συν παράγωγος του δεύτερου,γ
