question,answer_1,answer_2,answer_3,answer_4,correct_answer
Ποια είναι η βασική αιτία του οικονομικού προβλήματος;,Η σπανιότητα των πόρων,Η αυξανόμενη ζήτηση,Η τεχνολογία,Οι τιμές,α
Ποιο από τα παρακάτω αγαθά είναι ελεύθερο;,Νερό βρύσης,Ηλιακό φως,Ψωμί,Καύσιμα,β
Τα οικονομικά αγαθά είναι:,Άφθονα,Περιορισμένα,Χωρίς κόστος,Ελεύθερα,β
Ποια από τις παρακάτω ανάγκες είναι πρωτογενής;,Ψυχαγωγία,Μόρφωση,Τροφή,Ταξίδια,γ
Τι χαρακτηρίζει τις ανθρώπινες ανάγκες;,Είναι περιορισμένες,Είναι αμετάβλητες,Είναι απεριόριστες,Είναι ίδιες για όλους,γ
Ο όρος 'σπανιότητα' σημαίνει ότι:,Όλα τα αγαθά υπάρχουν σε αφθονία,Δεν υπάρχουν ανάγκες,Οι πόροι είναι περιορισμένοι,Οι τιμές είναι υψηλές,γ
Η οικονομική επιστήμη μελετά:,Τις φυσικές καταστροφές,Την παραγωγή και κατανομή αγαθών,Τη βιολογία,Τη γεωγραφία,β
Ποιο από τα παρακάτω παραδείγματα είναι οικονομικό αγαθό;,Αέρας,Ήλιος,Καύσιμα,Θερμότητα,γ
Ποια πρόταση είναι σωστή;,Οι ανάγκες παραμένουν σταθερές,Τα μέσα είναι απεριόριστα,Οι ανάγκες εξελίσσονται,Οι ανάγκες είναι λίγες,γ
Η οικονομία αντιμετωπίζει πρόβλημα επιλογής λόγω:,Πολιτικών αποφάσεων,Τεχνολογίας,Έλλειψης φυσικών πόρων,Σπανιότητας των μέσων,δ
Οι ανάγκες ιεραρχούνται με βάση:,Τις τιμές,Το επίπεδο εκπαίδευσης,Τη σπουδαιότητα για την επιβίωση,Την παραγωγή,γ
Η έννοια του 'κόστους ευκαιρίας' αφορά:,Την αξία του καλύτερου εναλλακτικού αγαθού,Το πραγματικό κόστος,Την τιμή αγοράς,Τη φορολογία,α
Το χωράφι είναι παράδειγμα του παραγωγικού συντελεστή:,Κεφάλαιο,Γη,Εργασία,Επιχειρηματικότητα,β
Ο υπολογιστής σε ένα γραφείο είναι παράδειγμα:,Ελεύθερου αγαθού,Ανάγκης,Παραγωγικού πόρου – Κεφαλαίου,Υπηρεσίας,γ
Οι ανάγκες αυξάνονται με βάση:,Την τεχνολογία,Την ηλικία,Την οικονομική πρόοδο,Όλα τα παραπάνω,δ
Ποια είναι βασική λειτουργία της οικονομικής επιστήμης;,Παρακολούθηση χρηματιστηρίου,Ανάλυση οικονομικών δεδομένων,Ικανοποίηση αναγκών με περιορισμένα μέσα,Κατανάλωση,γ
Η 'εργασία' ως παραγωγικός συντελεστής αφορά:,Τα φυσικά στοιχεία,Τις μηχανές,Τη σωματική και πνευματική προσπάθεια,Το κεφάλαιο,γ
Η επιχειρηματικότητα περιλαμβάνει:,Τη φυσική εργασία,Τη χρήση κεφαλαίου,Τη λήψη αποφάσεων και το ρίσκο,Την κατοχή γης,γ
Ποια από τις παρακάτω ανάγκες θεωρείται δευτερεύουσα;,Τροφή,Κατοικία,Εκπαίδευση,Ψυχαγωγία,δ
Ποιο από τα παρακάτω παραδείγματα δείχνει το οικονομικό πρόβλημα;,Διακοπές ή αγορά κινητού,Βροχή στην πόλη,Άνοιγμα σχολείου,Χρήση social media,α
